sl_no,date,Name,Product_name,price
205,17-Mar-2018,JAIPUR (GRAIN),BAJRA BOLD  - बाजरा बोल्ड , 965.00 / QUINTA
206,17-Mar-2018,JAIPUR (GRAIN),BARLEY  - जौ , 1268.00 / QUINTA
207,17-Mar-2018,JAIPUR (GRAIN),CHILLIES DRY  - सूखी मिर्च , 5670.00 / QUINTA
208,17-Mar-2018,JAIPUR (GRAIN),DHANIA BOLD  - धनिया बोल्ड , 2940.00 / QUINTA
209,17-Mar-2018,JAIPUR (GRAIN),GOWAR  - ग्वार , 3026.00 / QUINTA
210,17-Mar-2018,JAIPUR (GRAIN),GRAM  - चना , 4607.00 / QUINTA
211,17-Mar-2018,JAIPUR (GRAIN),GROUNDNUT (WHITE)  - मूंगफली (सफेद) , 3569.00 / QUINTA
212,17-Mar-2018,JAIPUR (GRAIN),GUR (WHOLE SALE)  - गुड़ (थोक में) , 3103.00 / QUINTA
213,17-Mar-2018,JAIPUR (GRAIN),JEERA (CUMIN)  - जीरा (जीरा) , 11889.00 / QUINTA
214,17-Mar-2018,JAIPUR (GRAIN),JOWAR LOCAL  - ज्वार (लोकल) , 1740.00 / QUINTA
215,17-Mar-2018,JAIPUR (GRAIN),MAIZE RED  - लाल मक्का , 1296.00 / QUINTA
216,17-Mar-2018,JAIPUR (GRAIN),METHI  - मेथी , 2349.00 / QUINTA
217,17-Mar-2018,JAIPUR (GRAIN),MOONG (LOCAL)  - मूंग (स्थानीय) , 3780.00 / QUINTA
218,17-Mar-2018,JAIPUR (GRAIN),MUSTARD (LAHA)  - सरसों (laha) , 2864.00 / QUINTA
,,,,
219,17-Mar-2018,JAIPUR (GRAIN),SUGAR (WHOLE SALE)  - चीनी (थोक में) , 3499.00 / QUINTA
220,17-Mar-2018,JAIPUR (GRAIN),TARAMIRA  - तारामीरा  , 6174.00 / QUINTA
221,17-Mar-2018,JAIPUR (GRAIN),TIL (GAJJAR)  - तिल (गज्जर) , 6256.00 / QUINTA
222,17-Mar-2018,JAIPUR (GRAIN),WHEAT MAXICAN  - गेहूं मैक्सिकन , 1779.00 / QUINTA
223,17-Mar-2018,JAITSAR,BAJRA BOLD  - बाजरा बोल्ड , 1035.00 / QUINTA
224,17-Mar-2018,JAITSAR,BARLEY  - जौ , 1092.00 / QUINTA
,,,,
225,17-Mar-2018,JAITSAR,GOWAR  - ग्वार , 3028.00 / QUINTA
226,17-Mar-2018,JAITSAR,GRAM  - चना , 3969.00 / QUINTA
227,17-Mar-2018,JAITSAR,KAPAS AMERICAN  - अमेरिकन कपास , 3996.00 / QUINTA
228,17-Mar-2018,JAITSAR,KAPAS DESHI  - कपास देशी , 5094.00 / QUINTA
229,17-Mar-2018,JAITSAR,MOONG (LOCAL)  - मूंग (स्थानीय) , 3394.00 / QUINTA
230,17-Mar-2018,JAITSAR,MUSTARD (LAHA)  - सरसों (laha) , 2831.00 / QUINTA
231,17-Mar-2018,JODHPUR (F & V),AMLA  - आंवला , 1092.00 / QUINTA
232,17-Mar-2018,JODHPUR (F & V),APPLE  - सेब , 3400.00 / QUINTA
233,17-Mar-2018,JODHPUR (F & V),BITTER GOURD  - करेला , 890.00 / QUINTA
234,17-Mar-2018,JODHPUR (F & V),BOTTLE GOURD  - लौकी , 510.00 / QUINTA
235,17-Mar-2018,JODHPUR (F & V),BRINJAL  - बैंगन , 792.00 / QUINTA
236,17-Mar-2018,JODHPUR (F & V),CABBAGE  - गोभी , 1275.00 / QUINTA
237,17-Mar-2018,JODHPUR (F & V),CAPSICUM  - शिमला मिर्च , 1760.00 / QUINTA
238,17-Mar-2018,JODHPUR (F & V),CARROT  - गाजर , 1056.00 / QUINTA
